Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4d9af2512a07dc8b8acdd9e8dfd4c6dbc9525b2baf52b60a72041826d5c3d8ff,2015-11,Surrey Police,Surrey Police,-0.411381,51.328687,On or near Supermarket,E01030302,Elmbridge 017C,Investigation complete; no suspect identified
ef8698cd28cbbced6ba52637c23a6c1d9b94f9c9b6e7aa7d4496f12852d40570,2015-11,Surrey Police,Surrey Police,-0.273422,51.325017,On or near Hospital,E01030419,Epsom and Ewell 008D,Investigation complete; no suspect identified
91c447367bb1b6101bc7aa5adf76669d8d35f8cf82dba5d2f29624c179828e71,2015-11,Surrey Police,Surrey Police,-0.270932,51.328254,On or near Petrol Station,E01030419,Epsom and Ewell 008D,Investigation complete; no suspect identified
e8a13e5940d374acf13de12be45abf94d39fdb2edd8192d9bbcd56720c74894d,2015-11,Surrey Police,Surrey Police,-0.272558,51.336929,On or near Sports/Recreation Area,E01030403,Epsom and Ewell 007C,Investigation complete; no suspect identified
4af03d75ee565e83328eecc31caa25f2b86755feb06cc1f5a0557fda9f4367bc,2015-11,Surrey Police,Surrey Police,-0.270256,51.339350,On or near Parking Area,E01030403,Epsom and Ewell 007C,Investigation complete; no suspect identified
c4ff7bf13cdc340bfa80e3a5d40f23da52d805fcd727cc363f54e41eb29e757f,2015-11,Surrey Police,Surrey Police,-0.255423,51.339040,On or near CHUTERS GROVE,E01030391,Epsom and Ewell 007B,Investigation complete; no suspect identified
4a373e670fc06d3908d1f5aeba662836be82105c35a3dc93f0906b250b0ccea4,2015-11,Surrey Police,Surrey Police,-0.263341,51.334284,On or near Supermarket,E01030411,Epsom and Ewell 008B,Investigation complete; no suspect identified
6b27d1307fa5dd2a7be63846b6cc39e17a9d1609e7ec795a0555d5013cce90c8,2015-11,Surrey Police,Surrey Police,-0.269311,51.332421,On or near Supermarket,E01030411,Epsom and Ewell 008B,Investigation complete; no suspect identified
a75c4e6eb59b01dd1cdfafdbaf16428ce9a68fef881cb3f81ed811adef9dcc22,2015-11,Surrey Police,Surrey Police,-0.269846,51.331934,On or near Parking Area,E01030411,Epsom and Ewell 008B,Investigation complete; no suspect identified
47e4a65c90236b89132fa00a2dd445a8e4d5a51d933ff2261abfbee0b3e0af38,2015-11,Surrey Police,Surrey Police,-0.270319,51.330826,On or near SOUTH STREET,E01030411,Epsom and Ewell 008B,Investigation complete; no suspect identified
